State,Observable_Type,Value_keV,Error_keV
(1^1S) B_c_rms,RMS Radius (GeV^-1),1.5817,0.0000
(2^1S) B_c_rms,RMS Radius (GeV^-1),3.5254,0.0000
(3^1S) B_c_rms,RMS Radius (GeV^-1),5.1013,0.0000
(1^3S) B_c^*_rms,RMS Radius (GeV^-1),1.6524,0.0000
(2^3S) B_c^*_rms,RMS Radius (GeV^-1),3.5662,0.0000
(3^3S) B_c^*_rms,RMS Radius (GeV^-1),5.1303,0.0000
(1^1P) B_{c1}_rms,RMS Radius (GeV^-1),2.8429,0.0000
(2^1P) B_{c1}_rms,RMS Radius (GeV^-1),4.5239,0.0000
(3^1P) B_{c1}_rms,RMS Radius (GeV^-1),5.9470,0.0000
"(1^3P_0) B_{c0,1,2}^*_rms",RMS Radius (GeV^-1),2.8429,0.0000
"(2^3P_0) B_{c0,1,2}^*_rms",RMS Radius (GeV^-1),4.5239,0.0000
"(3^3P_0) B_{c0,1,2}^*_rms",RMS Radius (GeV^-1),5.9470,0.0000
"(1^3P_1) B_{c0,1,2}^*_rms",RMS Radius (GeV^-1),2.8429,0.0000
"(2^3P_1) B_{c0,1,2}^*_rms",RMS Radius (GeV^-1),4.5239,0.0000
"(3^3P_1) B_{c0,1,2}^*_rms",RMS Radius (GeV^-1),5.9470,0.0000
"(1^3P_2) B_{c0,1,2}^*_rms",RMS Radius (GeV^-1),2.8429,0.0000
"(2^3P_2) B_{c0,1,2}^*_rms",RMS Radius (GeV^-1),4.5239,0.0000
"(3^3P_2) B_{c0,1,2}^*_rms",RMS Radius (GeV^-1),5.9470,0.0000
(1^1D) B_{c2}_rms,RMS Radius (GeV^-1),3.7709,0.0000
(2^1D) B_{c2}_rms,RMS Radius (GeV^-1),5.3050,0.0000
(3^1D) B_{c2}_rms,RMS Radius (GeV^-1),6.6478,0.0000
"(1^3D_1) B_{c1,2,3}^*_rms",RMS Radius (GeV^-1),3.7709,0.0000
"(2^3D_1) B_{c1,2,3}^*_rms",RMS Radius (GeV^-1),5.3050,0.0000
"(3^3D_1) B_{c1,2,3}^*_rms",RMS Radius (GeV^-1),6.6478,0.0000
"(1^3D_2) B_{c1,2,3}^*_rms",RMS Radius (GeV^-1),3.7709,0.0000
"(2^3D_2) B_{c1,2,3}^*_rms",RMS Radius (GeV^-1),5.3050,0.0000
"(3^3D_2) B_{c1,2,3}^*_rms",RMS Radius (GeV^-1),6.6478,0.0000
"(1^3D_3) B_{c1,2,3}^*_rms",RMS Radius (GeV^-1),3.7709,0.0000
"(2^3D_3) B_{c1,2,3}^*_rms",RMS Radius (GeV^-1),5.3050,0.0000
"(3^3D_3) B_{c1,2,3}^*_rms",RMS Radius (GeV^-1),6.6478,0.0000
